"Issue ID","Parent","Issue Type","Summary","Description","Status","Priority","Labels"
"1","","Epic","EPIC-01: Product Catalogue and Navigation","Source: BACKLOG.md
Source status: Done
Contains: US-101, US-102, US-103, US-104, US-105, US-106, US-107, US-108, US-109. Status is derived from its stories.","Done","High","lwk-backlog"
"1101","1","Story","US-101: Browse clothing categories","Local ID: US-101
Source status: Done
Parent: EPIC-01

As a shopper, I want to browse clothing categories so that I can find the product type I want.

Acceptance criteria:
- Navigation links are available for T-Shirts & Vests, Golfers, Crews & Hoodies, Sweatpants & Shorts, Tracksuits, and Puffer Jackets & Body Warmers.
- Category pages load from the navigation links.
- The navigation label uses ""Klothing"" instead of ""Clothing"".

Tasks / verification:
- Verify every category link resolves correctly.
- Verify active navigation styling on each category page.
- Check navigation at desktop, tablet, and mobile widths.","Done","High","lwk-backlog"
"1102","1","Story","US-102: Browse accessories categories","Local ID: US-102
Source status: Done
Parent: EPIC-01

As a shopper, I want to browse accessories so that I can find caps, bucket hats, and beanies.

Acceptance criteria:
- Accessories navigation includes Bucket Hats & Beanies and 6-Panel Caps.
- Both accessory pages load correctly.

Tasks / verification:
- Verify accessory links and active states.
- Check accessory pages for missing images and layout overflow.","Done","Medium","lwk-backlog"
"1103","1","Story","US-103: View company and help information","Local ID: US-103
Source status: Done
Parent: EPIC-01

As a shopper, I want access to company, shipping, returns, payment, and contact information before ordering.

Acceptance criteria:
- Footer links load the relevant pages.
- Contact, shipping, returns, payment, about, services, and privacy pages are reachable.

Tasks / verification:
- Verify all footer URLs.
- Review copy for current business details and policies.
- Completed: Add a clear contact submission success/error state; see US-109.","Done","Medium","lwk-backlog"
"1104","1","Story","US-104: Reach the official social accounts","Local ID: US-104
Source status: Done
Parent: EPIC-01

As a shopper, I want the footer social icons to open the official Lone Wolf Klothing accounts.

Acceptance criteria:
- Every HTML page has Facebook, Instagram, and TikTok links in its footer.
- Instagram points to `https://www.instagram.com/lonewolf_klothing/`.
- TikTok points to `https://www.tiktok.com/@lonewolf_klothing`.
- Facebook uses the verified Lone Wolf Klothing page URL, not the unavailable `loneWolfKlothing` vanity URL.
- The Twitter icon is absent.

Tasks / verification:
- Completed: Update social links across all 16 pages and add them to the four category footers that lacked them.
- Recheck the external destinations periodically because account URLs and visibility can change.","Done","Medium","lwk-backlog"
"1105","1","Story","US-105: Navigate from the homepage to collections","Local ID: US-105
Source status: Done
Parent: EPIC-01

As a shopper, I want collection cards and the main shopping button to take me to the product category I expect.

Acceptance criteria:
- Collection cards use product photos rather than emoji.
- Each category has one card; Golfers, Tracksuits, and 6-Panel Caps are included.
- The T-Shirts & Vests button names its destination.
- The compact mobile menu exposes the main product categories.

Tasks / verification:
- Completed: Replace emoji cards, remove the duplicate Beanies card, and add the missing categories.
- Completed: Rename the shopping button and add the compact mobile menu.
- Verify card destinations and menu operation at desktop and mobile widths.","Done","High","lwk-backlog"
"1106","1","Story","US-106: Show the clothing in the homepage hero","Local ID: US-106
Source status: Done
Parent: EPIC-01

As a shopper, I want to see Lone Wolf clothing on models so I can understand the collection at a glance.

Acceptance criteria:
- The hero offers four images: Lone Wolf, Wolf Head, Isolation Breeds Growth, and Lone Wolf Typography.
- Each image has descriptive alternative text and its selection control identifies the active image.

Tasks / verification:
- Completed: Replace the logo-led hero visual with four model images and image controls.
- Verify all four assets and controls on desktop and mobile.","Done","Medium","lwk-backlog"
"1107","1","Story","US-107: Publish Courier Guy locker delivery information","Local ID: US-107
Source status: Done
Parent: EPIC-01

As a shopper, I want current locker delivery details so that I can choose a suitable collection location and understand delivery costs.

Acceptance criteria:
- The shipping page replaces PAXI and PEP references with The Courier Guy locker service.
- Estimated delivery is stated as 1-4 business days after dispatch.
- Collection instructions explain PIN or QR access, the notification's collection deadline, and location-dependent opening hours.
- Customers can open the locker finder and current courier quote page.
- Paid delivery uses The Courier Guy's quoted charge without an LWK markup.

Tasks / verification:
- Completed: Replace outdated delivery copy and PAXI rates.
- Completed: Add locker collection details and official links.
- Completed: Check desktop and mobile page overflow.","Done","High","lwk-backlog"
"1108","1","Story","US-108: Publish free locker delivery for orders over R750","Local ID: US-108
Source status: Done
Parent: EPIC-01

As a shopper, I want to know when LWK pays for delivery so that I understand the cost of my order.

Acceptance criteria:
- The shipping page states that LWK pays the locker delivery fee when the order total exceeds R750.
- Orders of exactly R750 or less retain the courier's quoted delivery charge without markup.
- Free collection from LWK remains available.
- This story covers the published shipping policy; automated cart shipping calculation is outside its scope.

Tasks / verification:
- Completed: Add the free-delivery heading and explain who pays.
- Completed: Clarify the strict greater-than-R750 threshold and remove the old R500 offer.","Done","High","lwk-backlog"
"1109","1","Story","US-109: Submit customer enquiries and callback requests by email","Local ID: US-109
Source status: Done
Parent: EPIC-01

As a customer, I want to submit my name, email, phone number and message so that LWK can reply or call me back.

Acceptance criteria:
- The visible contact email and email link use lwe16sa@gmail.com.
- The form requires a name, valid email, phone number and message.
- Send Now submits the enquiry through FormSubmit for delivery to lwe16sa@gmail.com without opening the customer's email app or WhatsApp.
- The page shows sending, success and error states and prevents duplicate submissions while a request is pending.
- Failed submissions retain the customer's details for retry.

Tasks / verification:
- Completed: Update the email address and replace the email-draft flow with direct form submission.
- Completed: Restore Send Now and add the phone field, validation and status feedback.
- Completed: Verify submission payload, success/error handling and responsive overflow with mocked requests.
- Completed: Business owner confirmed the reported submission issue is resolved on 2026-09-21. Live delivery was not independently retested by the agent.","Done","High","lwk-backlog"
