"Work Item Type","Title 1","Title 2","Title 3","Description","Priority","Tags"
"Epic","EPIC-01: Product Catalogue and Navigation","","","<p>Source: BACKLOG.md</p><p>Source status: Done</p><p>Contains: US-101, US-102, US-103, US-104, US-105, US-106, US-107, US-108, US-109. Status is derived from its stories.</p>","2","lwk-backlog; EPIC-01; source-status-done"
"Feature","","FEAT-01: Product Catalogue and Navigation","","<p>Source: BACKLOG.md</p><p>Source status: Done</p><p>Contains: US-101, US-102, US-103, US-104, US-105, US-106, US-107, US-108, US-109. Status is derived from its stories.</p><p>Grouping feature for the standard Azure Agile hierarchy. No additional implementation scope.</p>","2","lwk-backlog; EPIC-01; source-status-done"
"User Story","","","US-101: Browse clothing categories","<p>Local ID: US-101. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want to browse clothing categories so that I can find the product type I want.</p><p><strong>Acceptance criteria</strong></p><ul><li>Navigation links are available for T-Shirts &amp; Vests, Golfers, Crews &amp; Hoodies, Sweatpants &amp; Shorts, Tracksuits, and Puffer Jackets &amp; Body Warmers.</li><li>Category pages load from the navigation links.</li><li>The navigation label uses &quot;Klothing&quot; instead of &quot;Clothing&quot;.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Verify every category link resolves correctly.</li><li>Verify active navigation styling on each category page.</li><li>Check navigation at desktop, tablet, and mobile widths.</li></ul>","2","lwk-backlog; US-101; EPIC-01; source-status-done"
"User Story","","","US-102: Browse accessories categories","<p>Local ID: US-102. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want to browse accessories so that I can find caps, bucket hats, and beanies.</p><p><strong>Acceptance criteria</strong></p><ul><li>Accessories navigation includes Bucket Hats &amp; Beanies and 6-Panel Caps.</li><li>Both accessory pages load correctly.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Verify accessory links and active states.</li><li>Check accessory pages for missing images and layout overflow.</li></ul>","3","lwk-backlog; US-102; EPIC-01; source-status-done"
"User Story","","","US-103: View company and help information","<p>Local ID: US-103. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want access to company, shipping, returns, payment, and contact information before ordering.</p><p><strong>Acceptance criteria</strong></p><ul><li>Footer links load the relevant pages.</li><li>Contact, shipping, returns, payment, about, services, and privacy pages are reachable.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Verify all footer URLs.</li><li>Review copy for current business details and policies.</li><li>Completed: Add a clear contact submission success/error state; see US-109.</li></ul>","3","lwk-backlog; US-103; EPIC-01; source-status-done"
"User Story","","","US-104: Reach the official social accounts","<p>Local ID: US-104. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want the footer social icons to open the official Lone Wolf Klothing accounts.</p><p><strong>Acceptance criteria</strong></p><ul><li>Every HTML page has Facebook, Instagram, and TikTok links in its footer.</li><li>Instagram points to `https://www.instagram.com/lonewolf_klothing/`.</li><li>TikTok points to `https://www.tiktok.com/@lonewolf_klothing`.</li><li>Facebook uses the verified Lone Wolf Klothing page URL, not the unavailable `loneWolfKlothing` vanity URL.</li><li>The Twitter icon is absent.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Update social links across all 16 pages and add them to the four category footers that lacked them.</li><li>Recheck the external destinations periodically because account URLs and visibility can change.</li></ul>","3","lwk-backlog; US-104; EPIC-01; source-status-done"
"User Story","","","US-105: Navigate from the homepage to collections","<p>Local ID: US-105. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want collection cards and the main shopping button to take me to the product category I expect.</p><p><strong>Acceptance criteria</strong></p><ul><li>Collection cards use product photos rather than emoji.</li><li>Each category has one card; Golfers, Tracksuits, and 6-Panel Caps are included.</li><li>The T-Shirts &amp; Vests button names its destination.</li><li>The compact mobile menu exposes the main product categories.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Replace emoji cards, remove the duplicate Beanies card, and add the missing categories.</li><li>Completed: Rename the shopping button and add the compact mobile menu.</li><li>Verify card destinations and menu operation at desktop and mobile widths.</li></ul>","2","lwk-backlog; US-105; EPIC-01; source-status-done"
"User Story","","","US-106: Show the clothing in the homepage hero","<p>Local ID: US-106. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want to see Lone Wolf clothing on models so I can understand the collection at a glance.</p><p><strong>Acceptance criteria</strong></p><ul><li>The hero offers four images: Lone Wolf, Wolf Head, Isolation Breeds Growth, and Lone Wolf Typography.</li><li>Each image has descriptive alternative text and its selection control identifies the active image.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Replace the logo-led hero visual with four model images and image controls.</li><li>Verify all four assets and controls on desktop and mobile.</li></ul>","3","lwk-backlog; US-106; EPIC-01; source-status-done"
"User Story","","","US-107: Publish Courier Guy locker delivery information","<p>Local ID: US-107. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want current locker delivery details so that I can choose a suitable collection location and understand delivery costs.</p><p><strong>Acceptance criteria</strong></p><ul><li>The shipping page replaces PAXI and PEP references with The Courier Guy locker service.</li><li>Estimated delivery is stated as 1-4 business days after dispatch.</li><li>Collection instructions explain PIN or QR access, the notification's collection deadline, and location-dependent opening hours.</li><li>Customers can open the locker finder and current courier quote page.</li><li>Paid delivery uses The Courier Guy's quoted charge without an LWK markup.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Replace outdated delivery copy and PAXI rates.</li><li>Completed: Add locker collection details and official links.</li><li>Completed: Check desktop and mobile page overflow.</li></ul>","2","lwk-backlog; US-107; EPIC-01; source-status-done"
"User Story","","","US-108: Publish free locker delivery for orders over R750","<p>Local ID: US-108. Source status: Done. Parent: EPIC-01.</p><p>As a shopper, I want to know when LWK pays for delivery so that I understand the cost of my order.</p><p><strong>Acceptance criteria</strong></p><ul><li>The shipping page states that LWK pays the locker delivery fee when the order total exceeds R750.</li><li>Orders of exactly R750 or less retain the courier's quoted delivery charge without markup.</li><li>Free collection from LWK remains available.</li><li>This story covers the published shipping policy; automated cart shipping calculation is outside its scope.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Add the free-delivery heading and explain who pays.</li><li>Completed: Clarify the strict greater-than-R750 threshold and remove the old R500 offer.</li></ul>","2","lwk-backlog; US-108; EPIC-01; source-status-done"
